`id_grp`,`dep_title`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`nabor`,`podano`,`all_exams`
2367,"Педагогический институт \ Факультет искусств",51.04.02,"Народная художественная культура",4,"Полное возмещение затрат",2,0,0,"1:М-Народная художественная культура;2:Индивидуальное достижение"
2368,"Педагогический институт \ Факультет психолого-педагогического и специального образования",44.04.01,"Педагогическое образование",4,"Полное возмещение затрат",2,0,0,"1:М-Педагогика(ФППиСО);2:Индивидуальное достижение"
2369,"Педагогический институт \ Факультет психолого-педагогического и специального образования",44.04.01,"Педагогическое образование",4,"Полное возмещение затрат",2,0,1,"1:М-Методика начального образования;2:Индивидуальное достижение"
2370,"Педагогический институт \ Факультет психолого-педагогического и специального образования",44.04.02,"Психолого-педагогическое образование",4,"Полное возмещение затрат",2,0,2,"1:М-Психология и педагогика(ФППиСО);2:Индивидуальное достижение"
2371,"Педагогический институт \ Факультет психолого-педагогического и специального образования",44.04.03,"Специальное (дефектологическое) образование",4,"Полное возмещение затрат",2,0,1,"1:М-Психологическое сопровождение образования и реабилитации лиц с ограниченными возможностями здоровья;2:Индивидуальное достижение"
2372,"Институт истории и международных отношений",46.04.01,История,4,"Полное возмещение затрат",2,0,0,"1:М-Междисциплинарный экзамен по дисциплинам направления ""История"";2:Индивидуальное достижение"
2373,"Институт истории и международных отношений",44.04.01,"Педагогическое образование",4,"Полное возмещение затрат",2,0,0,"1:М-Междисциплинарный экзамен по дисциплинам направления ""История"";2:Индивидуальное достижение"
2374,"Институт истории и международных отношений",43.04.02,Туризм,4,"Полное возмещение затрат",2,0,1,"1:М-Междисциплинарный экзамен по дисциплинам направления ""Туризм"" ;2:Индивидуальное достижение"
2375,"Институт истории и международных отношений",43.04.01,Сервис,4,"Полное возмещение затрат",2,0,0,"1:М-Междисциплинарный экзамен по дисциплинам направления ""Сервис"";2:Индивидуальное достижение"
2376,"Педагогический институт \ Факультет физической культуры и спорта",49.04.01,"Физическая культура",4,"Бюджет/Общие места",2,8,3,"1:М-Теория и методика физического воспитания и спорта;2:Индивидуальное достижение"
2377,"Педагогический институт \ Факультет физической культуры и спорта",49.04.01,"Физическая культура",4,"Целевой прием",2,2,0,"1:М-Теория и методика физического воспитания и спорта;2:Индивидуальное достижение"
2378,"Педагогический институт \ Факультет физической культуры и спорта",44.04.01,"Педагогическое образование",4,"Целевой прием",2,2,0,"1:М-Теория и методика обучения физической культуре;2:Индивидуальное достижение"
2379,"Педагогический институт \ Факультет физической культуры и спорта",44.04.01,"Педагогическое образование",4,"Полное возмещение затрат",2,0,4,"1:М-Теория и методика обучения физической культуре;2:Индивидуальное достижение"
2380,"Юридический факультет",41.04.04,Политология,4,"Полное возмещение затрат",1,0,1,"1:М-Политология;2:Индивидуальное достижение"
2381,"Факультет психологии",37.04.01,Психология,4,"Полное возмещение затрат",1,0,2,"1:М-Психология;2:Индивидуальное достижение"
2382,"Факультет психологии",37.04.01,Психология,4,"Бюджет/Общие места",0,5,3,"1:М-Психология;2:Индивидуальное достижение"
2384,"Факультет психологии",37.04.01,Психология,4,"Полное возмещение затрат",0,0,1,"1:М-Психология;2:Индивидуальное достижение"
2385,"Экономический факультет",38.04.01,Экономика,4,"Бюджет/Общие места",0,6,0,"1:М-Экономика;2:Индивидуальное достижение"
2386,"Экономический факультет",38.04.01,Экономика,4,"Целевой прием",0,1,0,"1:М-Экономика;2:Индивидуальное достижение"
2387,"Экономический факультет",38.04.01,Экономика,4,"Полное возмещение затрат",0,0,0,"1:М-Экономика;2:Индивидуальное достижение"
2388,"Институт физики",27.04.02,"Управление качеством",4,"Полное возмещение затрат",0,0,0,"1:М-Управление качеством;2:Индивидуальное достижение"
2389,"Институт физики",27.04.02,"Управление качеством",4,"Полное возмещение затрат",2,0,1,"1:М-Управление качеством;2:Индивидуальное достижение"
2390,"Механико-математический факультет",01.04.03,"Механика и математическое моделирование",4,"Бюджет/Общие места",0,4,3,"1:М-Междисциплинарный экзамен по дисциплинам направления ""Механика и математическое моделирование"";2:Индивидуальное достижение"
2391,"Механико-математический факультет",01.04.03,"Механика и математическое моделирование",4,"Целевой прием",0,1,0,"1:М-Междисциплинарный экзамен по дисциплинам направления ""Механика и математическое моделирование"";2:Индивидуальное достижение"
2393,"Юридический факультет",40.05.04,"Судебная и прокурорская деятельность",5,"Бюджет/Особое право",0,5,0,"1:Правоведение / Обществознание;2:Немецкий язык / Иностранный язык в профессиональной коммуникации / Английский язык / Историческое развитие и современное состояние Российского государства и общества / Французский язык / История;3:Русский язык;4:Индивидуальное достижение"
2395,"Юридический факультет",40.05.04,"Судебная и прокурорская деятельность",5,"Бюджет/Особое право",2,5,0,"1:Правоведение / Обществознание;2:Немецкий язык / Иностранный язык в профессиональной коммуникации / Английский язык / Историческое развитие и современное состояние Российского государства и общества / Французский язык / История;3:Русский язык;4:Индивидуальное достижение"
2396,"Факультет компьютерных наук и информационных технологий",02.03.03,"Математическое обеспечение и администрирование информационных систем",3,"Целевой прием",0,1,0,"1:Элементарная математика / Математика;2:Основы алгоритмизации и программирование / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
2397,"Факультет компьютерных наук и информационных технологий",02.03.03,"Математическое обеспечение и администрирование информационных систем",3,"Целевой прием",0,1,0,"1:Элементарная математика / Математика;2:Основы алгоритмизации и программирование / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
2398,"Факультет компьютерных наук и информационных технологий",09.03.04,"Программная инженерия",3,"Целевой прием",0,1,0,"1:Элементарная математика / Математика;2:Основы алгоритмизации и программирование / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
2399,"Факультет компьютерных наук и информационных технологий",09.03.04,"Программная инженерия",3,"Целевой прием",0,1,1,"1:Элементарная математика / Математика;2:Основы алгоритмизации и программирование / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
2400,"Институт физики",03.03.03,Радиофизика,3,"Целевой прием",0,2,0,"1:Основы физики / Физика;2:Информатика и ИКТ / Основы алгоритмизации и программирование / Элементарная математика / Математика;3:Русский язык;4:Индивидуальное достижение"
2401,"Институт физики",11.03.04,"Электроника и наноэлектроника",3,"Целевой прием",0,1,1,"1:Элементарная математика / Математика;2:Информатика и ИКТ / Основы физики / Основы алгоритмизации и программирование / Физика;3:Русский язык;4:Индивидуальное достижение"
2402,"Факультет компьютерных наук и информационных технологий",09.03.01,"Информатика и вычислительная техника",3,"Целевой прием",0,1,1,"1:Элементарная математика / Математика;2:Основы алгоритмизации и программирование / Информатика и ИКТ;3:Русский язык;4:Индивидуальное достижение"
